ÄêÁä,547
ÄòËá,338
ºìÏ¸°ûÆ½¾ùÌå»ı,335
ÄòËØ,261
¸ÊÓÍÈıõ¥,260
ºìÏ¸°ûÌå»ı·Ö²¼¿í¶È,260
*r-¹È°±õ£»ù×ª»»Ã¸,258
ºìÏ¸°ûÆ½¾ùÑªºìµ°°×Å¨¶È,240
feature_1_feature_0,225
*¼îĞÔÁ×ËáÃ¸,180
feature_8_feature_9,169
Ñªºìµ°°×,166
*ÌìÃÅ¶¬°±Ëá°±»ù×ª»»Ã¸,158
feature_10_feature_11,154
°×Çò±ÈÀı,129
¼¡ôû,113
feature_14_is_normal,110
ÑªĞ¡°åÌå»ı·Ö²¼¿í¶È,107
¸ßÃÜ¶ÈÖ¬µ°°×µ¨¹Ì´¼,103
feature_22_is_normal,97
ÖĞĞÔÁ£Ï¸°û%,97
feature_0_feature_1,96
feature_28_feature_31,95
ºìÏ¸°û¼ÆÊı,80
feature_20_feature_34,80
feature_12_feature_13,79
*±û°±Ëá°±»ù×ª»»Ã¸,75
ÁÜ°ÍÏ¸°û%,74
ÑªĞ¡°å¼ÆÊı,74
°×Ï¸°û¼ÆÊı,72
ÑªĞ¡°å±È»ı,72
*Çòµ°°×,69
ÑªĞ¡°åÆ½¾ùÌå»ı,66
×Üµ¨¹Ì´¼,66
feature_4_feature_6,65
ºìÏ¸°ûÑ¹»ı,58
°×µ°°×,58
µ¥ºËÏ¸°û%,57
ATSm,56
ºìÏ¸°ûÆ½¾ùÑªºìµ°°×Á¿,54
*×Üµ°°×,50
feature_20_feature_33,46
ÒÒ¸Îe¿¹Ìå,42
feature_20_feature_32,41
feature_23_is_normal,37
feature_20_feature_35,36
feature_20_feature_36,30
ÊÈËáÏ¸°û%,28
ÒÒ¸ÎºËĞÄ¿¹Ìå,25
feature_32_feature_33,25
ÒÒ¸Î±íÃæ¿¹Ìå,24
µÍÃÜ¶ÈÖ¬µ°°×µ¨¹Ì´¼,24
feature_8_is_normal,24
feature_4_feature_5,23
feature_26_is_normal,18
feature_14_gender_is_normal,11
ÒÒ¸Îe¿¹Ô­,9
ATSs,8
ÒÒ¸Î±íÃæ¿¹Ô­,8
feature_28_feature_31.1,6
feature_21_is_normal,5
feature_10_gender_is_normal,5
feature_1_feature_0_is_normal,5
feature_32_is_normal,5
ÊÈ¼îÏ¸°û%,4
feature_11_gt_312,2
feature_8_gt_17,2
feature_28_is_normal,2
feature_3_is_normal,2
feature_10_is_normal,1
feature_11_is_normal,1
feature_12_is_normal,1
feature_9_is_normal,1
feature_10_lt_129,0
feature_0_is_normal,0
feature_27_is_normal,0
feature_13_is_normal,0
feature_34_is_normal,0
feature_9_gt_572,0
feature_6_is_normal,0
feature_5_is_normal,0
feature_4_is_normal,0
feature_36_is_normal,0
feature_35_is_normal,0
feature_31_is_normal,0
feature_1_is_normal,0
feature_30_is_normal,0
feature_2_is_normal,0
feature_29_is_normal,0
feature_25_is_normal,0
feature_24_is_normal,0
feature_20_is_normal,0
feature_33_is_normal,0
